review_id,product_name,username,rating,date_variant,comment
42411658664,Kopi Arabika Toraja Benteng Kado Phiter Tulak 250 gram Kopi Terbaik Indonesia 2016 versi AEKI,juwana45,5,2025-05-15 17:48 | Variasi: Biji Sangrai,
42411658663,Kopi Toraja Arabika Perindingan 250 gram Bubuk atau Biji Specialty Coffee,juwana45,5,2025-05-15 17:48 | Variasi: Biji Sangrai,
42408473046,KOPI TORAJA BLEND ARABIKA ROBUSTA 50 50 BIJI SANGRAI ATAU BUBUK HARUM,11sailirrahman,5,2025-05-15 13:15 | Variasi: GILING SEDANG,
42383991181,Kopi Toraja Robusta biji sangrai atau kopi bubuk,risnha_inna,4,"2025-05-15 07:37 | Variasi: 150 GRAM,Biji Sangrai",
42383991179,Kopi Arabika Toraja Gandang batu Espresso Based kemasan 200 gram,risnha_inna,4,"2025-05-15 07:37 | Variasi: 200 gram,Biji Sangrai",
42367060405,KOPI TORAJA BLEND ARABIKA ROBUSTA 50 50 BIJI SANGRAI ATAU BUBUK HARUM,a*****s,5,2025-05-15 06:29 | Variasi: GILING HALUS,Maaf ndk sesuai sm foto soalnya udh di bawa buat oleh2
42250434176,KOPI TORAJA BLEND ARABIKA ROBUSTA 50 50 BIJI SANGRAI ATAU BUBUK HARUM,attojhie,4,2025-05-14 12:03 | Variasi: GILING HALUS,
42085800442,Kopi Toraja Robusta 1kg Biji Sangrai atau Kopi Bubuk Murah,ajt_olshop,5,2025-05-13 10:40 | Variasi: Giling Super Halus,
41933938824,Kopi Toraja Blend Arabika Robusta Taracasta kemasan 200gram,muhfadlullahsultan,5,"2025-05-12 18:51 | Variasi: 200 gram,Giling Sedang","Kopinya enak, arabika"
41814894271,Kopi Toraja Blend Arabika Robusta 1kg Gandangbatu Taracasta Biji Sangrai atau Kopi Bubuk,6vo0_oie62,5,2025-05-11 18:17 | Variasi: Giling Super Halus,
41814894270,Kopi Toraja Blend Arabika Robusta Taracasta kemasan 200gram,6vo0_oie62,5,"2025-05-11 18:17 | Variasi: 200 gram,Giling Halus",
41814894268,Kopi Arabika Toraja Gandang batu Espresso Based kemasan 200 gram,6vo0_oie62,5,"2025-05-11 18:17 | Variasi: 200 gram,Giling Super Halus",
41809672592,KOPI TORAJA BLEND ARABIKA ROBUSTA 50 50 BIJI SANGRAI ATAU BUBUK HARUM,abdulwahid50cent,5,2025-05-11 10:13 | Variasi: GILING SUPER HALUS,
41532340100,Kopi Arabika Toraja Benteng Kado Phiter Tulak 1kg,donysubriyantoome,5,"2025-05-09 15:41 | Variasi: 1 kg,Biji Sangrai",
41383243610,Kopi Toraja Robusta biji sangrai atau kopi bubuk,firahh1771,5,"2025-05-08 22:27 | Variasi: 150 GRAM,Giling Halus",
41380830401,KOPI TORAJA BLEND ARABIKA ROBUSTA 50 50 BIJI SANGRAI ATAU BUBUK HARUM,abdulahrahman09,5,2025-05-08 19:45 | Variasi: BIJI SANGRAI,
41189108320,Kopi Toraja Robusta biji sangrai atau kopi bubuk,_yusufpratama28,5,"2025-05-07 22:44 | Variasi: 200 GRAM,Biji Sangrai",Mantap
41170904840,Kopi Arabika Toraja Gandang batu Espresso Based kemasan 200 gram,sabrishbr,5,"2025-05-07 10:01 | Variasi: 200 gram,Giling Sedang",Kualitas terbaik
40689756799,Kopi Toraja Arabika Natural Carbonic Maceration 250 gram,d*****e,5,2025-05-04 13:58 | Variasi: Giling Kasar,"Rasa kopi arabika yang mantap ,gilingan bubuk kopi disesuaikan dengan alat French press"
40676768183,Kopi Toraja Robusta biji sangrai atau kopi bubuk,rokhanisiti77,5,"2025-05-04 07:58 | Variasi: 200 GRAM,Giling Super Halus",
40567354645,Kopi Toraja Robusta biji sangrai atau kopi bubuk,rhmt_fdnt,5,"2025-05-03 21:38 | Variasi: 200 GRAM,Giling Sedang",
40565964066,Kopi Toraja Robusta biji sangrai atau kopi bubuk,arilakhril,5,"2025-05-03 19:31 | Variasi: 150 GRAM,Giling Super Halus",
40415819185,Kopi Toraja Arabika Natural Benteng Ambeso 250 gram Bubuk atau Biji Specialty Coffee,6uns5mowed,5,2025-05-02 23:04 | Variasi: Biji Sangrai,
40411746340,Kopi Toraja Espresso Based kemasan 500 gram,aras_m,5,2025-05-02 16:59 | Variasi: Halus,
40411746339,Kopi Arabika Toraja Benteng Kado Phiter Tulak 1kg,aras_m,5,"2025-05-02 16:59 | Variasi: 1 kg,Giling Super Halus",
40411746337,Kopi Arabika Toraja Perindingan 1kg Bubuk atau Biji Specialty Coffee,aras_m,5,"2025-05-02 16:59 | Variasi: 500 gram,Giling Halus",Terimakasih bosnusnya
40269480584,Kopi Toraja Espresso Based kemasan 500 gram,yuhaffip,5,2025-05-02 04:03 | Variasi: Sedang,
40199859232,Kopi Toraja Espresso Based kemasan 500 gram,s*****a,5,2025-05-01 23:07 | Variasi: Biji Sangrai,
40192968952,Kopi Toraja Blend Arabika Robusta Taracasta kemasan 200gram,wahyudi998,3,"2025-05-01 12:50 | Variasi: 200 gram,Biji Sangrai",Tdk ada tanggal roasted deatnya.
40008357919,Kopi Toraja Robusta kemasan 500 gram Murah,pakdekuntet1,5,2025-04-30 16:52 | Variasi: Giling Sedang,
39564883789,Kopi Toraja Robusta kemasan 500 gram Murah,raihanaskiyah1616,5,2025-04-27 20:42 | Variasi: Giling Halus,
39560083544,Kopi Toraja Espresso Based kemasan 500 gram,pakdekuntet1,5,2025-04-27 13:15 | Variasi: Sedang,
39384087284,Kopi Toraja Robusta kemasan 500 gram Murah,ekal6,5,2025-04-26 23:59 | Variasi: Biji Sangrai,
39377700849,Kopi Toraja Arabika Natural Carbonic Maceration 250 gram,muhammadridwansaleh,5,2025-04-26 13:28 | Variasi: Giling Halus,
39377700847,Kopi Toraja Blend Arabika Robusta Taracasta kemasan 200gram,muhammadridwansaleh,5,"2025-04-26 13:28 | Variasi: 200 gram,Giling Halus",
39152493580,Kopi Toraja Blend Arabika Robusta Taracasta kemasan 200gram,akrastik,5,"2025-04-25 14:37 | Variasi: 200 gram,Giling Sedang",
