product_name,review_count,avg_rating,avg_sentiment,positive_ratio,negative_ratio,avg_review_length,weighted_rating,csi,segment
Kopi Arabika Toraja Benteng Kado Phiter Tulak 200 gram Kopi Terbaik Indonesia 2016 versi AEKI,42,4.976190476190476,0.8862864655467482,0.9761904761904762,0.023809523809523808,1.1428571428571428,4.956917884110454,97.3685864537921,overrated
Kopi Toraja Blend Arabika Robusta Gandangbatu Taracasta kemasan 500 gram,111,4.963963963963964,0.9024257638317592,0.972972972972973,0.009009009009009009,0.6936936936936937,4.956767200518275,97.50797473609465,steady
Kopi Toraja Blend Arabika Robusta 1kg Gandangbatu Taracasta Biji Sangrai atau Kopi Bubuk,38,4.973684210526316,0.8786513454305303,0.9736842105263158,0.02631578947368421,0.8947368421052632,4.95532813813667,97.17829006650534,overrated
Kopi Toraja Arabika Peaberry Perindingan proses Full Wash 200 gram Bubuk atau Biji Kemasan oleh oleh kopi toraja,14,5.0,0.9333844765164291,1.0,0.0,1.1428571428571428,4.954473580260841,98.66768953032859,high_potential
Kopi Toraja Natural Presso Full Arabika 100% kemasan baru 200 gram oleh oleh khas kopi toraja,12,5.0,0.935473272712746,1.0,0.0,1.9166666666666667,4.953368570072997,98.70946545425493,high_potential
Kopi Arabika Toraja Benteng Kado Phiter Tulak 1kg,12,5.0,0.7683354605687782,0.9166666666666666,0.08333333333333333,0.5,4.953368570072997,95.36670921137556,overrated
Kopi Toraja Arabika Gandangbatu Espresso Based 1kg,11,5.0,0.927262228151614,1.0,0.0,0.0,4.952795702383476,98.54524456303227,steady
Kopi Toraja Tanpa Ampas Gandanbatu Arabusta Blend Arabika Robusta dengan Filter Dripbag isi 4 pcs,11,5.0,0.9272622251883149,1.0,0.0,0.0,4.952795702383476,98.5452445037663,steady
Kopi Arabika Toraja Peaberry kemasan 200 gram,10,5.0,0.9272622177377343,1.0,0.0,0.0,4.952208584253918,98.54524435475469,steady
Kopi Toraja Arabika Natural Carbonic Maceration 200 gram kopi arabika premium specialty oleh oleh khas kopi toraja,27,4.962962962962963,0.9300098856501454,1.0,0.0,1.5555555555555556,4.950283061334856,98.04464215744734,high_potential
Kopi Arabika Toraja Perindingan 1kg Bubuk atau Biji Specialty Coffee,24,4.958333333333333,0.8540148654331764,0.9583333333333334,0.041666666666666664,1.7083333333333333,4.948703073877278,96.45529730866352,overrated
Kopi Toraja Robusta 1kg Biji Sangrai atau Kopi Bubuk,60,4.95,0.8239097646001028,0.9333333333333333,0.05,1.5333333333333334,4.947527378635085,95.72819529200206,overrated
Kopi Toraja Arabika Perindingan kemasan 200 gram Bubuk atau Biji Specialty Coffee,125,4.944,0.8866590661960654,0.968,0.016,0.992,4.944511618086055,96.89318132392131,steady
Kopi Toraja tanpa label Arabika Robusta Blend cocok untuk reseller dropshipper maupun brand sendiri Kemasan 500G,7,4.857142857142857,0.9272622251883149,1.0,0.0,0.0,4.9374363071578165,96.40238736090916,undervalued
Kopi Toraja Arabika Natural Benteng Ambeso 200gram Bubuk atau Biji Specialty Coffee,37,4.918918918918919,0.9342194285268921,1.0,0.0,0.5405405405405406,4.936290225083939,97.46817235432162,high_potential
Kopi Toraja Blend Arabika Robusta kemasan baru 200 gram oleh oleh khas sulawesi,276,4.931159420289855,0.9040521095536161,0.9818840579710145,0.010869565217391304,1.068840579710145,4.934057650617827,97.04843349542016,undervalued
Kopi Toraja Arabika Specialty Perindingan kemasan 200g kopi premium fresh roast oleh oleh khas sulawesi,124,4.92741935483871,0.8858415473857143,0.967741935483871,0.016129032258064516,0.8709677419354839,4.93393811817909,96.62812127029493,steady
Kopi Toraja Robusta kemasan 500 gram oleh oleh khas Toraja,76,4.921052631578948,0.923867903698824,1.0,0.0,0.6842105263157895,4.932770288073874,97.2931475476607,undervalued
Kopi Toraja Arabika Specialty Premium origin Gandangbatu 200 gram proses Semi Wash,15,4.866666666666666,0.9315537387543978,1.0,0.0,0.4666666666666667,4.931587472763642,96.63107477508795,high_potential
Kopi Arabika Toraja Gandangbatu 100% Arabika Espresso Based kemasan 200 gram oleh oleh khas sulawesi,247,4.9271255060728745,0.9165590175216346,0.9838056680161943,0.004048582995951417,1.2753036437246963,4.931183270869613,97.23806294152581,undervalued
Kopi Arabika Toraja Gandangbatu Arabika Espresso Based kemasan baru 200 gram,244,4.926229508196721,0.9164577701523113,0.9836065573770492,0.004098360655737705,1.2336065573770492,4.930526622690888,97.22259802599704,undervalued
Kopi Toraja Arabika Espresso Based kemasan 500 gram,73,4.904109589041096,0.9309271548249541,1.0,0.0,0.2876712328767123,4.924390308047524,97.18018693211552,undervalued
KOPI TORAJA BLEND ARABIKA ROBUSTA 50 50 BIJI SANGRAI ATAU BUBUK HARUM,366,4.890710382513661,0.894834032255833,0.9726775956284153,0.01092896174863388,1.3415300546448088,4.899536136970703,96.25733638282158,steady
Kopi Toraja Robusta asli biji sangrai atau kopi bubuk kemasan baru 200 gram oleh oleh khas sulawesi,365,4.890410958904109,0.8962914996053258,0.9726027397260274,0.010958904109589041,1.326027397260274,4.89930539773545,96.28199437566816,steady
